Key,ar,en,es,pt,pt_br,fr,de,ru,zh,hi
Q_1,يحتل فريق آرسنال المراكز الـ 4 الأولى في الدوري,Arsenal are in the top 4 of the league.,Arsenal ocupa el top 4 de la liga,,Arsenal ocupa o top 4 da liga,Arsenal occupe le top 4 du championnat,Arsenal belegt die Top 4 der Liga,«Арсенал» занимает четвёрку лучших в лиге,阿森纳稳居联赛前4位,आर्सेनल लीग में शीर्ष 4 पर काबिज है
Q_2,يحتل فريق آرسنال المراكز الـ 4 الثانية في الدوري,Arsenal are in the second 4th place in the league.,El Arsenal ocupa el segundo 4º puesto de la liga.,,Arsenal ocupa o segundo 4º lugar na liga,Arsenal occupe la deuxième 4ème place du championnat,Arsenal belegt den zweiten 4. Platz in der Liga,«Арсенал» занимает второе 4-е место в лиге.,阿森纳排名联赛第2位第4位,आर्सेनल लीग में दूसरे चौथे स्थान पर काबिज है
Q_3,يحتل فريق آرسنال المراكز الـ 4 الثالثة في الدوري,Arsenal are in the top 4 in the league.,El Arsenal ocupa el cuarto lugar en la liga,,Arsenal ocupa o 4º lugar na liga,Arsenal se classe 4ème du championnat,Arsenal belegt den 4. Platz in der Liga,«Арсенал» занимает четвертое место в лиге.,阿森纳排名联赛第4位,आर्सेनल लीग में चौथे स्थान पर है
Q_4,يحتل فريق آرسنال المراكز الـ 4 الأخيرة في الدوري,Arsenal are in the bottom 4 of the league.,El Arsenal está entre los 4 últimos de la liga,,Arsenal está entre os quatro últimos da liga,Arsenal est dans les 4 derniers du championnat,Arsenal gehört zu den letzten vier der Liga,«Арсенал» входит в четверку худших в лиге.,阿森纳排在联赛倒数4位,आर्सेनल लीग के निचले चार में है
Q_5,فاز آرسنال في مباراته ضد مانشستر سيتي,Arsenal won their match against Manchester City,El Arsenal ganó su partido contra el Manchester City,,Arsenal venceu a partida contra o Manchester City,Arsenal a gagné son match contre Manchester City,Arsenal hat sein Spiel gegen Manchester City gewonnen,«Арсенал» выиграл матч у «Манчестер Сити».,阿森纳战胜曼城,आर्सेनल ने मैनचेस्टर सिटी के खिलाफ अपना मैच जीता
Q_6,خسر آرسنال في مباراته ضد مانشستر يونايتد,Arsenal lost their match against Manchester United.,Arsenal perdió su partido contra Manchester United,,Arsenal perdeu a partida contra o Manchester United,Arsenal a perdu son match contre Manchester United,Arsenal hat sein Spiel gegen Manchester United verloren,«Арсенал» проиграл матч «Манчестер Юнайтед»,阿森纳输给了曼联,आर्सेनल मैनचेस्टर यूनाइटेड के खिलाफ अपना मैच हार गया
Q_7,تعادل آرسنال في مباراته ضد توتنهام,Arsenal draw against Tottenham,El Arsenal empató su partido ante el Tottenham,,Arsenal empatou a partida contra o Tottenham,Arsenal a égalisé son match contre Tottenham,Arsenal hat sein Spiel gegen Tottenham unentschieden gespielt,«Арсенал» сыграл вничью с «Тоттенхэмом»,阿森纳与托特纳姆热刺队战平,आर्सेनल ने टोटेनहम के खिलाफ अपना मैच टाई कराया
Q_8,سجل آرسنال أكثر من 3 أهداف في مباراته ضد ليفربول,Arsenal scored more than 3 goals in their match against Liverpool,El Arsenal marcó más de 3 goles en su partido contra el Liverpool,,Arsenal marcou mais de 3 gols na partida contra o Liverpool,Arsenal a marqué plus de 3 buts lors de son match contre Liverpool,im Spiel gegen Liverpool mehr als drei Tore geschossen,«Арсенал» забил более трёх голов в матче против «Ливерпуля».,在对阵利物浦的比赛中进球数超过3 个,लिवरपूल के खिलाफ अपने मैच में 3 से अधिक गोल किए
Q_9,سجل آرسنال أكثر من 2 هدف في مباراته ضد نيوكاسل,Arsenal scored more than 2 goals in their match against Newcastle,El Arsenal marcó más de 2 goles en su partido contra el Newcastle,,Arsenal marcou mais de 2 gols na partida contra o Newcastle,Arsenal a marqué plus de 2 buts lors de son match contre Newcastle,im Spiel gegen Newcastle mehr als zwei Tore,«Арсенал» забил более 2 голов в матче против «Ньюкасла».,在对阵纽卡斯尔的比赛中进球数超过2球,न्यूकैसल के खिलाफ अपने मैच में 2 से अधिक गोल किए
Q_10,سجل آرسنال أكثر من هدف في مباراته ضد أستون فيلا,Arsenal scored more than one goal in their match against Aston Villa,El Arsenal marcó más de un gol en su partido ante el Aston Villa,,O Arsenal marcou mais de um gol na partida contra o Aston Villa,Arsenal a marqué plus d'un but lors de son match contre Aston Villa,Arsenal erzielte im Spiel gegen Aston Villa mehr als ein Tor,«Арсенал» забил больше одного гола в матче против «Астон Виллы»,阿森纳在对阵阿斯顿维拉的比赛中攻入超过一球,आर्सेनल ने एस्टन विला के खिलाफ अपने मैच में एक से अधिक गोल किये
Q_11,فاز آرسنال في أول مباراة له بالدوري,Arsenal won their first league match.,El Arsenal ganó su primer partido de liga,,Arsenal venceu sua primeira partida no campeonato,Arsenal a remporté son premier match de championnat,Arsenal gewann sein erstes Ligaspiel,«Арсенал» выиграл свой первый матч в чемпионате,阿森纳赢得了他们的第一场联赛比赛,आर्सेनल ने अपना पहला लीग मैच जीता
Q_12,تعادل آرسنال في أول مباراة له بالدوري,Arsenal draw in first league match,El Arsenal empató en su primer partido de liga,,Arsenal empatou em sua primeira partida do campeonato,Arsenal a fait match nul lors de son premier match de championnat,Arsenal hat in seinem ersten Ligaspiel unentschieden gespielt,«Арсенал» сыграл вничью в своем первом матче чемпионата,阿森纳首场联赛战平,आर्सेनल ने अपना पहला लीग मैच ड्रा खेला
Q_13,خسر آرسنال في أول مباراة له بالدوري,Arsenal lost their first league match.,El Arsenal perdió en su primer partido de liga,,Arsenal perdeu em sua primeira partida do campeonato,Arsenal a perdu lors de son premier match de championnat,Arsenal verlor in seinem ersten Ligaspiel,«Арсенал» проиграл свой первый матч в чемпионате,阿森纳在首场联赛中失利,आर्सेनल अपने पहले लीग मैच में हार गया
Q_14,لم يتلقى آرسنال أي هدف في شباكه في مباراته ضد مانشستر سيتي,Arsenal did not concede a goal against Manchester City.,El Arsenal no encajó ni un solo gol en su partido contra el Manchester City,,O Arsenal não sofreu nenhum gol na partida contra o Manchester City,Arsenal n'a encaissé aucun but lors de son match contre Manchester City,Arsenal kassierte im Spiel gegen Manchester City kein einziges Gegentor,«Арсенал» не пропустил ни одного гола в матче против «Манчестер Сити».,阿森纳在对阵曼城的比赛中没有丢球,आर्सेनल ने मैनचेस्टर सिटी के खिलाफ अपने मैच में एक भी गोल नहीं खाया
Q_15,تلقى آرسنال هدفا في شباكه في مباراته ضد تشيلسي,Arsenal conceded a goal against Chelsea,El Arsenal encajó un gol en su partido contra el Chelsea,,Arsenal sofreu um gol na partida contra o Chelsea,Arsenal a encaissé un but lors de son match contre Chelsea,Arsenal hat im Spiel gegen Chelsea ein Gegentor kassiert,«Арсенал» пропустил гол в матче против «Челси»,阿森纳在对阵切尔西的比赛中失球,आर्सेनल ने चेल्सी के खिलाफ अपने मैच में एक गोल खाया
Q_16,تلقى آرسنال هدفين في شباكه في مباراته ضد ساوثهامبتون,Arsenal conceded two goals against Southampton.,El Arsenal encajó dos goles en su partido contra el Southampton,,O Arsenal sofreu dois gols na partida contra o Southampton,Arsenal a encaissé deux buts lors de son match contre Southampton,Arsenal kassierte im Spiel gegen Southampton zwei Gegentore,«Арсенал» пропустил два гола в матче против «Саутгемптона».,阿森纳在对阵南安普顿的比赛中丢了两个球,आर्सेनल ने साउथेम्प्टन के खिलाफ अपने मैच में दो गोल खाए
Q_17,تلقى آرسنال في مباراته ضد توتنهام ثلاث أهداف,Arsenal conceded three goals in their match against Tottenham.,"En su partido contra el Tottenham, el Arsenal sufrió tres goles",,"Na partida contra o Tottenham, o Arsenal sofreu três gols","Lors de son match contre Tottenham, Arsenal a encaissé trois buts",Im Spiel gegen Tottenham kassierte Arsenal drei Gegentore,В матче с «Тоттенхэмом» «Арсенал» пропустил три гола.,阿森纳在对阵托特纳姆热刺的比赛中丢了三个球,टोटेनहम के खिलाफ अपने मैच में आर्सेनल ने तीन गोल खाए
Q_18,في التشكيلة الأساسية لفريق آرسنال يوجد 3 لاعبين يحملون الجنسية الإسبانية,3 Spanish players in Arsenal's starting line-up.,En el once titular del Arsenal hay 3 jugadores con nacionalidad española,,No time titular do Arsenal há 3 jogadores de nacionalidade espanhola,"Dans la formation de départ d'Arsenal, il y a 3 joueurs de nationalité espagnole",In der Startaufstellung von Arsenal stehen drei Spieler mit spanischer Nationalität,В стартовом составе «Арсенала» три игрока испанского гражданства.,阿森纳首发阵容中有3名西班牙籍球员,आर्सेनल की शुरुआती लाइनअप में स्पेनिश राष्ट्रीयता वाले 3 खिलाड़ी हैं
Q_19,في خط هجوم آرسنال يوجد لاعب يحمل الجنسية الفرنسية,In Arsenal's attacking line there is a player with French nationality.,En la línea de ataque del Arsenal hay un jugador de nacionalidad francesa,,Na linha de ataque do Arsenal há um jogador de nacionalidade francesa,Dans la ligne offensive d'Arsenal se trouve un joueur de nationalité française,In der Angriffsreihe von Arsenal gibt es einen Spieler mit französischer Nationalität,В линии нападения «Арсенала» появился игрок французского гражданства,阿森纳的攻击线上有一名法国籍球员,आर्सेनल की आक्रमण पंक्ति में फ्रांसीसी राष्ट्रीयता वाला एक खिलाड़ी है
